idx	label	predict	radius	correct	time
8000	160	160	1.69	1	6:07:05.205263
9000	180	-1	0.0	0	6:03:35.554332
10000	200	-1	0.0	0	6:10:11.992418
11000	220	-1	0.0	0	6:09:30.233139
12000	240	238	1.5	0	6:13:25.502870
13000	260	260	2.8	1	6:11:26.098111
14000	280	-1	0.0	0	6:08:07.383355
15000	300	300	1.62	1	6:10:13.925664
16000	320	320	1.51	1	6:11:18.744507
17000	340	340	3.2	1	6:14:25.639990
18000	360	-1	0.0	0	6:10:19.188566
19000	380	-1	0.0	0	6:07:24.379278
20000	400	400	1.87	1	6:03:47.327940
21000	420	-1	0.0	0	6:09:29.396955
22000	440	-1	0.0	0	6:06:43.472135
23000	460	-1	0.0	0	6:13:19.819492
24000	480	-1	0.0	0	6:03:35.005765
25000	500	-1	0.0	0	6:05:21.081866
26000	520	-1	0.0	0	6:03:39.403524
27000	540	540	1.05	1	6:06:17.440457
28000	560	560	2.6	1	6:12:54.209176
29000	580	-1	0.0	0	6:08:36.949233
30000	600	-1	0.0	0	6:07:28.427185
31000	620	-1	0.0	0	6:16:44.364495
32000	640	-1	0.0	0	6:03:45.978131
33000	660	660	1.53	1	6:06:28.043731
34000	680	-1	0.0	0	6:06:24.831614
35000	700	700	0.942	1	6:00:57.356213
36000	720	720	3.06	1	6:08:20.667578
37000	740	-1	0.0	0	6:04:38.187147
38000	760	799	0.0665	0	6:12:26.033428
39000	780	914	0.74	0	6:07:33.149193
40000	800	800	1.75	1	6:08:03.634782
41000	820	-1	0.0	0	6:12:18.287737
42000	840	-1	0.0	0	6:03:16.193991
43000	860	409	0.0457	0	7:42:10.519348
44000	880	880	1.11	1	6:33:39.387295
45000	900	900	2.65	1	6:57:19.141660
46000	920	-1	0.0	0	6:47:10.004791
47000	940	-1	0.0	0	7:22:39.281767
48000	960	-1	0.0	0	7:27:30.502609
49000	980	980	2.72	1	7:14:07.159997
